#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;x
#DECISIONS;#;;;;;;;;;;x
show_dragon_stats;Show [Root.GetFullName]'s Stats;;;;;;;;;;x
show_dragon_stats_desc;[Root.GetFullName]'s combat rating: [Root.combat_rating_var.GetValue]\n[Root.GetFullName]'s vitality: [Root.health_var.GetValue]\n[Root.GetFullName]'s size: [Root.size_for_loc_variable.GetValue]\n[Root.GetFullName]'s strength: [Root.dragon_strenght_var.GetValue];;;;;;;;;;x
use_dragon_in_battle;Deploy [Root.GetFullName] in Battle;;;;;;;;;;x
use_dragon_in_battle_desc;Deploy [Root.GetFullName] in combat. But beware, he could be hurt or even killed and if there is a dragon rider on the enemy side he might intervene..;;;;;;;;;;x
use_dragon_in_siege;Deploy [Root.GetFullName] in siege;;;;;;;;;;x
use_dragon_in_siege_desc;Deploy [Root.GetFullName] in siege. But beware, he could be hurt or even killed. ;;;;;;;;;;x
tame_untamed_dragon;Tame [Root.GetFullName];;;;;;;;;;x
tame_untamed_dragon_desc;You face [Root.GetFullName] and attempt to tame him.;;;;;;;;;;x
TOOLTIP_TAME_UNTAMED_DRAGON;You cannot possess more than one dragon, and the dragon you wish to ride must be untamed. ;;;;;;;;;;x
TOOLTIP_USE_DRAGON_IN_BATTLE;You must be in command of an ongoing battle and your dragon must not be wounded.;;;;;;;;;;x
TOOLTIP_USE_DRAGON_IN_SIEGE;You must be in command of a siege and your dragon must not be wounded.;;;;;;;;;;x
hatch_dragon_egg;Hatch a dragon;;;;;;;;;;x
hatch_dragon_egg_desc;You acquired a dragon egg and can try to hatch it. However, a dragon is not a toy, you need to be careful since the neighbouring lords will fear you and will be more likely to form coaltions against you.;;;;;;;;;;x
#EVENTS;#;;;;;;;;;;x
EVTDESCdragon100;You and [your_dragon.GetFullName] enter the battlefield. The enemy holds its breath as [your_dragon.GetFullName] floods the sky and the ground with fire. The enemy soldiers melt with their armor, or flee from the flying inferno. The day is yours!;;;;;;;;;;x
EVTOPTAdragon100;Burn them all!;;;;;;;;;;x
EVTDESCdragon101;The enemy has garrisoned himself within his holding. But castles are not dragon-proof! The flames of [your_dragon.GetFullName] devour the castle, killing scores of men, women, and children. ;;;;;;;;;;x
EVTOPTAdragon101;Burn them all!;;;;;;;;;;x
EVTDESCdragon102;Your enemy, [From.GetFullName], flies his dragon into battle and steers him straight towards you.;;;;;;;;;;x
EVTOPTAdragon102;I shall face the enemy!;;;;;;;;;;x
EVTDESCdragon103;Your enemy, [From.GetFullName], flies his dragon into battle and steers him straight towards you.;;;;;;;;;;x
EVTOPTAdragon103;Damn it, that hurts!;;;;;;;;;;x
EVTOPTBdragon103;Ah, my skin!;;;;;;;;;;x
EVTOPTCdragon103;The fire! It's everywere!;;;;;;;;;;x
EVTOPTDdragon103;Ahhhhhh!;;;;;;;;;;x
EVTDESCAdragon104;[your_dragon.GetFullName] destroys soldier after soldier and transforms the former grass field into a field of fire. Those who are not devoured by the flames carry wounds and scars from it. Some of their commanders and noblemen had a dance with the fire and got away with it, if at all.;;;;;;;;;;x
EVTDESCBdragon104;[your_dragon.GetFullName] destroys soldier after soldier and transforms the former stone wall into a field of fire. Those who are not devoured by the flames carry wounds and scars from it. Some of their commanders and noblemen had a dance with the fire and got away with it, if at all.;;;;;;;;;;x
EVTOPTAdragon104;Rest in Peace;;;;;;;;;;x
EVTDESCdragon105;Your dragon's power is undeniable. In order to prevent the enemy forces of taking back the holding and entrenching themselves in it we can melt the walls and tear down some buildings or we kill everybody in it and burn every building we can find!;;;;;;;;;;x
EVTOPTAdragon105;Damage the walls!;;;;;;;;;;x
EVTOPTBdragon105;Damage the walls and set some houses on fire!;;;;;;;;;;x
EVTOPTCdragon105;Give them fire!;;;;;;;;;;x
EVTOPTDdragon105;I just want leave some garrison.;;;;;;;;;;x
TOOLTIP_DRAGON105;[your_dragon.GetFullName] will burn many buildings;;;;;;;;;;x
EVTDESCdragon106;The battle is won! The enemy armies flee from the fire or lie dead at the ground. However, while your soldiers loot the battlefield's aftermath they find enemy soldiers. You offer them a choice...;;;;;;;;;;x
TOOLTIP_DRAGON106;Some soldiers from of the enemy's side join you.;;;;;;;;;;x
EVTDESCdragon108;Riders arrived bringing terrible news.../nOur soldiers were killed by the fire of [your_dragon.GetFullName] ridden by [Root.GetFullName]. They had to suffer unimaginable pain before they died.;;;;;;;;;;x
EVTOPTAdragon108;May the Gods be merciful.;;;;;;;;;;x
TOOLTIP_DRAGON200_A;[Root.GetFirstName] tames [targetted_dragon_for_taming.GetFullName].;;;;;;;;;;x
TOOLTIP_DRAGON200_B;[Root.GetFirstName] gets burnt alive by [targetted_dragon_for_taming.GetFullName].;;;;;;;;;;x
EVTDESCdragon203;Everything has been prepared. You approach the fire with the egg in your hands. I …;;;;;;;;;;x
EVTOPTAdragon203;… place the egg in the fire.;;;;;;;;;;x
EVTOPTBdragon203;… turn around and leave.;;;;;;;;;;x
EVTDESCdragon204;Small fractures form on the egg and slowly a small nose feels its way out of the egg. A new dragon enters the world. ;;;;;;;;;;x
EVTDESCdragon301;As the battle begins, [rider_a.GetFullName] ascends to the sky on his dragon [dragon_a.GetFullName] and sets fire to your army. If you do not intervene, the battle is lost.;;;;;;;;;;
EVTDESCdragon302;The foolish [rider_d.GetFullName] has sat down on his dragon [dragon_d.GetFullName] and flies towards you to prevent your attack on his army. Engaging this fight puts you in great danger but a victory in the air means a victory on the land.;;;;;;;;;;
EVTDESCdragon303;The [rider_d.GetFullName]'s dragon [dragon_d.GetFullName] sets our army on fire. As a dragon rider you can follow your commander in the air and engage the dragon duel.;;;;;;;;;;
EVTDESCdragon304;Your commander [From.GetFullName] joins you in the duel.;;;;;;;;;;
EVTDESCdragon307;As the dragons clash together streams of fire fill the sky. On the ground the armies of both sides fight for victory, but the the real victory is to be won in the air.;;;;;;;;;;
